Sample,Type,Site,Site_Name,Status,Morph,Length,Type_2
Astfood_Z_12,Z,Site 2,Luenga,alive,E,34,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,20,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,23,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,25,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,12,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,26,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,20,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,11,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,14,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,31,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,14,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,17,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,20,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,12,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,38,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,35,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,34,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,40,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,30,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,32,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,24,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,47,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,42,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,44,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,31,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,40,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,44,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,31,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,41,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,32,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,32,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,33,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,37,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,26,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,30,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,32,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,31,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,32,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,34,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,33,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,27,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,29,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,30,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,32,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,34,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,43,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,29,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,32,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,30,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,35,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,31,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,33,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,29,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,16,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,26,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,18,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,30,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,33,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,32,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,22,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,26,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,35,Stage 3
Astfood_Z_12,Z,Site 2,Luenga,alive,E,35,Stage 3
